title,link,address,deadline,salary
Spanish Teacher - High Schools (Multiple Sites) (25/26),https://www.edjoin.org/Home/JobPosting/2078223,"San Juan Unified School District - Carmichael, Sacramento County, CA",5/3/2025 11:55 am,Pay dependent on experience
Elementary Teacher (Multiple Subject) - Elementary Schools (Multiple Sites) - SY 25/26,https://www.edjoin.org/Home/JobPosting/2078208,"San Juan Unified School District - Carmichael, Sacramento County, CA",5/3/2025 11:55 am,Pay dependent on experience
Deaf and Hard of Hearing Teacher -Multiple Vacancies - SY 25/26,https://www.edjoin.org/Home/JobPosting/2078200,"San Juan Unified School District - Carmichael, Sacramento County, CA",5/3/2025 11:55 am,Pay dependent on experience
Para Educator - Inclusion - 0.25 FTE - CL#28 Nesbit Elementary,https://www.edjoin.org/Home/JobPosting/2026604,"Belmont-Redwood Shores Elementary - Belmont, San Mateo County, CA",Until Filled,$22.65 - $26.24  Per Hour
Speech Language Pathologist- Special Ed Offices - SY 25/26,https://www.edjoin.org/Home/JobPosting/2078229,"San Juan Unified School District - Carmichael, Sacramento County, CA",5/3/2025 11:55 am,Pay dependent on experience
"Para Educator - Inclusion - 0.5 FTE - Nesbit & Redwood Shores Elementary CL#33, CL#36",https://www.edjoin.org/Home/JobPosting/2039902,"Belmont-Redwood Shores Elementary - Belmont, San Mateo County, CA",Until Filled,$22.65 - $26.24  Per Hour
Para Educator - Inclusion - 0.625 FTE - Central Elementary CL#25,https://www.edjoin.org/Home/JobPosting/2014030,"Belmont-Redwood Shores Elementary - Belmont, San Mateo County, CA",Until Filled,$22.65 - $26.24  Per Hour
Teacher - PE at Matt Garcia Career and College Academy (4687) (2025/2026) School Year),https://www.edjoin.org/Home/JobPosting/2077618,"Fairfield-Suisun Unified - Fairfield, Solano County, CA",5/2/2025 11:55 am,Pay dependent on experience
Teacher - Math at Armijo High School (547) (2025/2026 School Year),https://www.edjoin.org/Home/JobPosting/2077617,"Fairfield-Suisun Unified - Fairfield, Solano County, CA",5/2/2025 04:30 am,Pay dependent on experience
High School Teacher (Math),https://www.edjoin.org/Home/JobPosting/1622768,"Southlands Christian Schools - Rowland Heights, Los Angeles County, CA",8/2/2025 11:55 am,Pay dependent on experience
Special Education Teacher-Mild/Moderate Support Needs,https://www.edjoin.org/Home/JobPosting/2077826,"Pleasant Ridge Union Elementary School District - Grass Valley, Nevada County, CA",Until Filled,Pay dependent on experience
Secondary English Teacher Pool,https://www.edjoin.org/Home/JobPosting/2052999,"Palo Alto Unified School District - Palo Alto, Santa Clara County, CA",Until Filled,Pay dependent on experience
"TEACHER - SOCIAL SCIENCE (US History)- TEMPORARY, 0.4 FTE, Middle College/DeAnza, 25/26 SY",https://www.edjoin.org/Home/JobPosting/2077849,"Fremont Union High School District - Sunnyvale, Santa Clara County, CA",5/3/2025 04:00 am,"$105,395.00 prorated - $177,052.00 proprated  Annually"
Substitute Teacher Eligibility Pool: Early Childhood Education Department (2024-25),https://www.edjoin.org/Home/JobPosting/1921948,"Oakland Unified School District - Oakland, Alameda County, CA",7/1/2025 11:55 am,$337.07  Daily
Music Teacher 2025-2026 School Year,https://www.edjoin.org/Home/JobPosting/2078162,"Modesto Christian School - Modesto, Stanislaus County, CA",Until Filled,"$45,000  Annually"
Teacher - Math at B. Gale Wilson (112) (2025/2026 School Year),https://www.edjoin.org/Home/JobPosting/2077620,"Fairfield-Suisun Unified - Fairfield, Solano County, CA",5/2/2025 04:30 am,Pay dependent on experience
2025-26 Biology Teacher,https://www.edjoin.org/Home/JobPosting/2040892,"LA Promise Fund/Westbrook Academy - South Gate, Los Angeles County, CA",7/1/2025 11:55 am,"$60,000 - $111,618  Annually"
"Teacher, Early Intervention Specialist - ACOE Infant Program (Starting in the 2025-2026 School Year)",https://www.edjoin.org/Home/JobPosting/2077837,"Alameda County Office Of Education - Hayward, Alameda County, CA",Until Filled,"$77,553.42 - $147,709.80  Annually"
Music Teacher 2025-2026 School Year,https://www.edjoin.org/Home/JobPosting/2078175,"Modesto Christian School - Modesto, Stanislaus County, CA",Until Filled,"$45,000  Annually"
Private Teacher (Full-Time) – Chippingford School,https://www.edjoin.org/Home/JobPosting/2077647,"California Private Teachers - Los Angeles - , Los Angeles County, CA",6/26/2025 11:55 am,$100k +  Annually
Special Day Class Teacher - Moderate/Severe Program (2025 – 2026),https://www.edjoin.org/Home/JobPosting/2077600,"Marin County Office Of Education - San Rafael, Marin County, CA",5/10/2025 05:00 am,Pay dependent on experience
2025-26 Physics Teacher,https://www.edjoin.org/Home/JobPosting/2042619,"LA Promise Fund/Westbrook Academy - South Gate, Los Angeles County, CA",7/1/2025 11:55 am,"$60,000 - $111,618  Annually"
